PAISES;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Estados Unidos;2.956;3.061;3.441;3.623;3.560;3.974;3.793;3.864;4.163;3.177;3.073;3.280;2.917;4.229;4.595;5.298;5.294;5.703;5.722;5.895;5.105
Canadá;432;531;533;513;593;645;590;555;576;484;570;531;519;605;734;792;837;868;929;994;876
Argentina;28;27;7;11;10;7;7;8;8;7;5;7;7;5;8;8;9;19;12;14;14
Alemania;1.727;1.860;1.767;1.642;1.383;1.420;1.457;1.550;1.136;457;335;425;469;737;972;1.109;1.246;1.025;1.023;1.196;1.082
Bélgica;485;741;486;531;543;664;615;776;710;519;571;569;532;669;838;919;719;617;599;660;854
Italia;228;234;257;255;285;409;392;410;392;141;108;122;111;165;275;340;388;349;298;345;253
Reino Unido;232;238;308;296;282;368;440;483;471;323;292;432;296;341;315;313;358;345;284;268;258
Suecia;223;271;265;247;266;262;296;291;266;188;130;115;118;154;169;166;178;133;85;90;86
Paises Bajos;238;260;214;268;208;166;218;220;131;62;52;29;46;73;95;127;126;108;118;149;115
España;228;191;256;249;217;228;277;338;282;196;209;250;238;228;266;307;289;304;281;321;292
Finlandia;110;184;180;134;187;166;229;220;224;95;117;132;192;164;225;287;288;252;280;300;247
Francia;306;320;242;193;159;136;159;186;158;186;158;109;116;172;135;109;175;215;141;144;137
Dinamarca;98;86;109;105;116;74;73;59;54;21;19;21;21;29;38;40;41;29;25;26;17
Polonia;85;56;32;58;20;28;65;80;80;12;10;13;14;15;17;19;36;32;49;41;33
Portugal;13;19;20;21;20;20;23;27;40;10;4;7;4;10;11;9;10;25;23;28;20
Austria;17;18;17;15;15;4;1;1;0;0;0;0;0;0;0;0;0;0;0;41;0
Grecia;13;13;18;13;17;16;15;16;22;12;5;3;7;12;13;16;26;20;24;34;28
Noruega;70;103;126;136;161;130;139;153;116;101;115;89;92;131;138;178;160;180;137;171;186
Suiza;19;44;35;19;12;33;5;1;0;0;0;1;7;2;0;4;3;0;6;1;4
Japón;1.268;1.202;1.459;1.394;1.618;1.525;1.513;1.325;1.415;1.285;1.401;930;783;1.100;1.063;1.330;1.223;1.238;1.071;1.107;1.023
Corea del Sur;122;104;101;134;149;170;167;205;233;218;267;287;215;244;351;346;472;454;475;493;540
Australia;24;28;32;36;39;42;48;54;58;45;55;58;64;92;100;131;137;182;177;184;202
Otros;285;384;370;396;405;384;423;481;550;356;326;325;404;497;598;864;831;887;991;1.164;1.154
TOTAL;9.206;9.974;10.274;10.289;10.263;10.871;10.945;11.301;11.085;7.894;7.822;7.734;7.169;9.672;10.957;12.714;12.845;12.983;12.751;13.668;12.527
