Puerto de Embarque;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Aerp. El Dorado;309;770;1.923;1.442;2.418;2.111;3.355;3.804;4.910;2.693;5.297;3.789;2.514;2.762;3.153;4.544;11.500;7.849;7.129;6.790;2.817
Aerp. José M.Cordoba;364;2.762;477;1.193;117;0;161;265;1.324;3.548;8.869;25.560;9.931;7.902;6.037;4.757;3.995;3.183;3.095;4.567;3.400
Aerp. Alfonso Bonilla;55;28;6;0;197;0;261;22;665;11;53;31;31;73;40;15;205;56;43;95;24
Aerp. Matecaña;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;36;103;94;43
Insp. Barranquilla;42.017;63.635;202.755;107.631;47.545;28.659;48.602;13.503;3.333;4.693;0;0;0;0;0;0;0;0;86;725;2.786
Insp. Buenaventura;6.253.228;6.286.221;7.005.746;7.434.680;6.529.968;6.287.256;5.520.570;5.004.591;4.782.347;4.554.759;4.633.042;4.021.025;3.752.480;5.512.856;6.490.979;7.476.568;7.172.616;7.385.925;7.829.483;9.282.159;8.773.104
Insp. Cartagena;2.133.706;3.138.088;2.757.743;2.318.074;3.331.288;4.355.794;5.048.293;5.934.382;6.007.585;3.162.685;2.944.390;3.466.137;3.084.177;3.826.343;3.901.527;4.447.422;4.454.007;4.170.789;4.003.015;3.911.315;3.099.162
Insp. Santa Marta;753.081;463.552;307.727;410.404;296.130;189.392;280.578;297.683;244.855;129.060;193.293;199.115;294.785;300.769;531.274;748.213;1.187.767;1.391.617;881.626;434.744;569.609
Cucúta;6.840;7.073;4.991;9.291;8.549;217;4.368;13.112;11.900;2.989;14.365;663;4.406;5.074;6.264;4.097;0;0;0;0;0
Ipiales;22.224;18.473;10.823;3.221;42.178;7.849;29.074;28.145;26.385;33.444;21.552;15.966;20.464;16.191;15.931;27.711;14.297;22.953;25.508;24.004;27.653
Paraguachón;494;4.047;3.537;3.474;4.397;78;9.918;3.877;139;0;848;1.256;198;5;943;32;77;31;0;26;0
Urabá;15;25;0;16;0;0;49;1.284;2.158;0;0;0;5;0;0;0;0;0;0;0;0
Pasto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;676;308;0;0;0;0;0
Zonas Francas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;369;675;1.252;3.087;4.238
Medellín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0
Barrancabermeja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.400
Total Aeropuertos;728;3.560;2.406;2.635;2.732;2.111;3.777;4.091;6.899;6.252;14.219;29.380;12.483;10.737;9.230;9.316;15.700;11.124;10.370;11.572;6.284
Total Puertos Marítimos;9.182.032;9.951.496;10.273.971;10.270.789;10.204.931;10.861.101;10.898.043;11.250.159;11.038.120;7.851.197;7.770.725;7.686.277;7.131.442;9.639.968;10.923.780;12.672.203;12.814.390;12.948.331;12.714.210;13.628.943;12.446.061
Total Frontera terrestre y ZF;29.573;29.618;19.351;16.002;55.124;8.144;43.409;46.418;40.582;36.433;36.765;17.885;25.073;21.270;23.814;32.148;14.743;23.659;26.760;27.117;31.891
Total general;9.212.333;9.984.674;10.295.728;10.289.426;10.262.787;10.871.356;10.945.229;11.300.668;11.085.601;7.893.882;7.821.709;7.733.542;7.168.998;9.671.975;10.956.824;12.713.667;12.844.833;12.983.114;12.751.340;13.667.632;12.484.236
