Departamento;2002;2003;2004;2005;2006;2007;2008;2009;2010*;2011*;2012*;2013*;2014*;2015*;2016*;2017*;2018*;2019*;2020*
Antioquia;127,99;128,05;129,30;129,82;126,30;126,90;129,10;130,57;131,12;131,17;133,61;137,13;130,99;128,63;126,40;123,26;120,96;119,16;117,53
Arauca;;;;;;;;;;;;;;;;;;;0,11
Bolivar;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;1,00;1,12;1,16;1,18;1,23;1,31;1,39;1,40
Boyaca;11,36;11,23;11,09;10,96;10,80;11,10;10,70;10,95;11,14;11,27;10,35;11,49;11,41;11,52;11,45;10,57;10,41;10,25;10,14
Caldas;88,82;88,51;90,87;89,52;89,10;87,70;85,00;83,88;81,92;80,52;78,58;77,56;74,53;72,37;70,79;68,97;66,02;63,05;60,82
Caquetá;n/d;n/d;n/d;n/d;n/d;2,80;2,80;2,78;2,85;3,43;3,68;4,08;3,99;4,09;4,16;4,05;4,02;3,99;3,80
Casanare;n/d;n/d;n/d;n/d;n/d;2,60;2,60;2,56;2,61;2,74;2,92;3,20;3,25;3,20;3,17;2,92;2,74;2,60;2,54
Cauca;65,68;68,50;69,85;68,92;68,00;67,80;69,80;73,34;76,19;81,17;84,06;91,61;88,83;92,62;95,75;93,30;92,56;92,67;91,94
Cesar;22,43;22,19;21,84;21,49;21,10;21,50;21,90;22,45;24,23;26,19;28,69;30,77;30,28;28,91;29,02;28,03;25,95;23,63;23,89
Chocó;n/d;n/d;n/d;n/d;n/d;0,18;0,19;0,20;0,19;0,21;0,17;0,17;0,16;0,16;0,16;0,17;0,17;0,18;0,18
Cundinamarca;55,44;54,31;53,17;52,04;50,90;48,20;48,90;48,92;49,36;43,85;40,79;41,99;38,00;37,92;37,68;35,43;32,32;30,31;29,71
Guajira;4,57;4,72;4,85;5,02;4,40;5,07;5,08;5,18;5,28;5,79;6,21;6,77;6,79;6,12;6,13;5,86;5,14;4,25;4,22
Huila;78,23;82,20;93,91;95,92;95,10;98,10;102,50;104,99;117,84;129,15;139,14;154,49;154,98;154,09;151,87;147,80;146,76;144,90;144,31
Magdalena;17,45;17,58;17,73;18,04;18,30;17,10;17,60;18,45;18,87;19,76;20,56;21,26;21,27;20,39;20,52;20,17;19,39;17,96;17,97
Meta;n/d;n/d;n/d;n/d;n/d;2,40;2,40;2,29;2,59;3,01;3,23;3,60;3,44;3,53;3,61;3,40;2,90;2,89;2,80
Nariño;23,00;24,47;26,15;26,45;26,80;27,40;29,00;31,00;33,54;35,37;37,12;39,29;38,86;38,85;38,75;38,17;37,26;36,16;35,76
N. Santander;32,05;32,08;32,10;32,12;32,10;32,10;32,60;33,63;33,98;32,90;30,01;30,39;26,73;25,44;24,34;23,99;23,56;23,03;23,10
Putumayo;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;0,04;0,13;0,13;0,00;0,22;0,23;0,21;0,21
Quindio;44,52;44,71;44,59;42,95;44,00;43,30;42,40;39,78;43,37;31,07;30,18;28,88;27,67;27,02;25,68;23,76;21,25;20,02;19,65
Risaralda;59,38;58,55;57,78;56,85;56,20;55,40;54,40;54,27;52,88;52,56;52,32;52,27;51,03;50,80;50,26;48,52;46,39;45,13;44,47
Santander;42,09;42,36;42,75;43,28;41,20;41,10;41,50;42,75;44,58;45,23;46,83;50,27;50,32;51,14;50,61;50,16;50,66;51,35;52,01
Tolima;105,56;105,44;105,33;105,21;105,10;104,30;102,80;103,91;106,79;109,86;113,15;119,33;117,18;118,43;117,27;112,87;111,71;108,17;106,99
Valle;86,55;85,94;85,34;84,73;84,10;82,50;77,50;75,78;75,09;75,80;69,44;68,39;67,57;64,39;62,96;61,11;55,41;52,41;51,19
TOTAL ;865,14;870,83;886,65;883,33;873,50;877,55;878,77;887,66;914,41;921,06;931,06;974,01;948,53;940,92;931,75;903,95;877,14;853,70;844,74
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
